id,company_id/id,date,inventory_line_id/product_id/id,inventory_line_id/product_uom/id,inventory_line_id/product_qty,inventory_line_id/location_id/id,name
,base.main_company,2014-01-02 00:00:01,ADCRIL,product.product_uom_litre,2.12,stock.stock_location_stock,Inventario Inicial - Cementantes y Adhesivos
,,,CATALIZADOR MAX,product.product_uom_litre,0.1,stock.stock_location_stock,
,,,CINTA DOBLE CARA BLANCA,product.product_uom_meter,5,stock.stock_location_stock,
,,,CINTA DOBLE TAPE ROJA DELGADA EXTERIOR,product.product_uom_meter,0,stock.stock_location_stock,
,,,CINTA DOBLE TAPE ROJA MONTAJE EXTERIOR,product.product_uom_meter,0,stock.stock_location_stock,
,,,CINTA MASQUIN,product.product_uom_unit,0,stock.stock_location_stock,
,,,CLOROFORMO,product.product_uom_litre,2.25,stock.stock_location_stock,
,,,LOCTITE ACELERANTE DE PEGAMENTO,product.product_uom_litre,0.1,stock.stock_location_stock,
,,,DIUREX,product.product_uom_litre,0,stock.stock_location_stock,
,,,DURMAN PVC,product.product_uom_litre,0.25,stock.stock_location_stock,
,,,KOLA LOKA CRAZY,product.product_uom_unit,0,stock.stock_location_stock,
,,,LOCTITE ACTIVADOR,product.product_uom_unit,0,stock.stock_location_stock,
,,,PEGAMENTO P/ESPEJO GUNTER,product.product_uom_litre,2,stock.stock_location_stock,
,,,RESINA,product.product_uom_litre,0.25,stock.stock_location_stock,
,,,RESISTOL 5000 ,product.product_uom_litre,2,stock.stock_location_stock,
,,,RESISTOL 500 250ML,product.product_uom_litre,0,stock.stock_location_stock,
,,,RESISTOL 850,product.product_uom_kgm,3,stock.stock_location_stock,
,,,SAYER PEGAMENTO,product.product_uom_unit,0,stock.stock_location_stock,
,,,SELLADOR PARA VINIL,product.product_uom_unit,0,stock.stock_location_stock,
,,,SYMOL PEGAMENTO,product.product_uom_litre,0,stock.stock_location_stock,
,,,TUBO DE SILICON BLANCO,product.product_uom_litre,0,stock.stock_location_stock,
,,,TUBO NO MAS CLAVOS ,product.product_uom_litre,2,stock.stock_location_stock,
