id,categ_id/id,procure_method,cost_method,supply_method,name,product_tmpl_id/id,type,uom_po_id/id,uom_id/id,valuation,standard_price,list_price,purchase_ok,sale_ok
,__export__.product_category_144,Make to Stock,Average Price,Buy,Renta Diaria De Valla Movil Con Iluminacion Y Perifoneo (8Hrs) En Acapulco,,Stockable Product,product.product_uom_day,product.product_uom_day,Periodical (manual),0,1500,TRUE,TRUE
,__export__.product_category_107,Make to Stock,Average Price,Buy,Edecan AA Por Hora,,Stockable Product,product.product_uom_hour,product.product_uom_hour,Periodical (manual),0,500,TRUE,TRUE
,__export__.product_category_107,Make to Stock,Average Price,Buy,Edecan AAA Por Hora,,Stockable Product,product.product_uom_hour,product.product_uom_hour,Periodical (manual),0,300,TRUE,TRUE
,__export__.product_category_108,Make to Stock,Average Price,Buy,Volantero Por 6 Hrs En Crucero O Casa X Casa,,Stockable Product,__export__.product_uom_15,__export__.product_uom_15,Periodical (manual),0,500,TRUE,TRUE
,__export__.product_category_138,Make to Stock,Average Price,Buy,Corte De Vinil Esmerilado,,Stockable Product,product.product_uom_meter,product.product_uom_meter,Periodical (manual),0,300,TRUE,TRUE
,__export__.product_category_138,Make to Stock,Average Price,Buy,Corte De Vinil Reflejante,,Stockable Product,product.product_uom_meter,product.product_uom_meter,Periodical (manual),0,350,TRUE,TRUE
,__export__.product_category_138,Make to Stock,Average Price,Buy,Corte En Plotter Sin Material,,Stockable Product,product.product_uom_meter,product.product_uom_meter,Periodical (manual),0,40,TRUE,TRUE
,__export__.product_category_112,Make to Stock,Average Price,Buy,Impresion De Vinil Imantado,,Stockable Product,product.product_uom_meter,product.product_uom_meter,Periodical (manual),0,700,TRUE,TRUE
,__export__.product_category_138,Make to Stock,Average Price,Buy,Vinil De Corte Amplio,,Stockable Product,product.product_uom_meter,product.product_uom_meter,Periodical (manual),0,200,TRUE,TRUE
,__export__.product_category_138,Make to Stock,Average Price,Buy,Vinil De Corte Detallado,,Stockable Product,product.product_uom_meter,product.product_uom_meter,Periodical (manual),0,300,TRUE,TRUE
,__export__.product_category_111,Make to Stock,Average Price,Buy,Impresion De Lona Back Light,,Stockable Product,__export__.product_uom_12,__export__.product_uom_12,Periodical (manual),0,180,TRUE,TRUE
,__export__.product_category_111,Make to Stock,Average Price,Buy,Impresion De Lona Front,,Stockable Product,__export__.product_uom_12,__export__.product_uom_12,Periodical (manual),0,80,TRUE,TRUE
,__export__.product_category_111,Make to Stock,Average Price,Buy,Impresion De Lona Mesh,,Stockable Product,__export__.product_uom_12,__export__.product_uom_12,Periodical (manual),0,200,TRUE,TRUE
,__export__.product_category_145,Make to Stock,Average Price,Buy,Impresion De Microperforado,,Stockable Product,__export__.product_uom_12,__export__.product_uom_12,Periodical (manual),0,200,TRUE,TRUE
,__export__.product_category_112,Make to Stock,Average Price,Buy,Impresion De Vinil Autoadherible,,Stockable Product,__export__.product_uom_12,__export__.product_uom_12,Periodical (manual),0,90,TRUE,TRUE
